Snapshotdt,ApplicationID,UPB,DPD,BKRepo_Flag,NextPaymentDate,RemainingTerm,MaturityDate,NumberOfExtensions,NumberOfPayments,FundingDate,OriginalRate,CurrentRate,OriginalPayment,CurrentPayment,PTICore,DTICore,Make,Model,ModelYr,BookValue,LTVCore,OriginalAmtFinanced,OriginalTerm,BookNewUsed,BookMileage,HighFico,BookTier,FirstPaymentDate,LastPmtDate,lastExtensionDate,ChargeoffDate,MOB,DPDBucket,MOB_Lag1,UPB_Lag1,DPD_Lag1,DPDBucket_Lag1,LoanStatus,LoanStatus2,LoanStatus2_Lag1,Vintage_M,Vintage_Q,PrepayBal,DefaultBal,DQBal
2020-01-31,10024338,27449,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-21,0.193,0.193,650.9,650.9,0.0963,0.3091,FORD,MUSTANG     ,15,20425,1.34389228886169,27449,72,Used,45689,613,Tier 5,2020-03-03,43849,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10024689,17827.37,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-28,0.2143,0.2143,445.87,445.87,0.0612,0.2056,HYUNDAI,TUCSON      ,17,13700,1.30126788321168,17827.37,72,Used,34682,569,Tier 7,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10025095,12898.79,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-28,0.2148,0.2148,323.14,323.14,0.1243,0.3004,KIA,SORENTO     ,14,10874,1.18620470847894,12898.79,72,Used,68683,564,Tier 7,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10025652,21548.28,0,None,2020-03-09,60,2025-02-09,0,0,2020-01-22,0.1374,0.1374,501.34,501.34,0.157,0.4994,RAM,1500 CREW CA,14,16966,1.27008605446187,21548.28,60,Used,101573,594,Tier 4,2020-03-09,43854,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10026774,20830.78,0,None,2020-03-15,72,2026-02-15,0,0,2020-01-28,0.1249,0.1249,414.72,414.72,0.0957,0.3371,CHEVROLE,SILVERADO 15,17,18540,1.12355879180151,20830.78,72,Used,22357,620,Tier 3,2020-03-15,43860,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10026874,26400.5,0,None,2020-03-13,72,2026-02-13,0,0,2020-01-24,0.1374,0.1374,543.38,543.38,0.0973,0.3481,TOYOTA,CAMRY       ,18,20678,1.27674339878131,26400.5,72,Used,59120,547,Tier 4,2020-03-13,43858,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10026961,17183.2,0,None,2020-03-14,60,2025-02-14,0,0,2020-01-27,0.1049,0.1049,370.84,370.84,0.1153,0.3753,FORD,MUSTANG     ,13,13675,1.25654113345521,17183.2,60,Used,62215,667,Tier 2,2020-03-14,43859,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10028967,19201.98,0,None,2020-03-01,72,2026-02-01,0,0,2020-01-27,0.1609,0.1609,420.23,420.23,0.0732,0.4359,CHEVROLE,IMPALA      ,17,13800,1.39144782608696,19201.98,72,Used,52224,564,Tier 5,2020-03-01,43846,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10029298,23019.2,0,None,2020-03-01,72,2026-02-01,0,0,2020-01-24,0.1499,0.1499,489.49,489.49,0.1004,0.245,DODGE,CHALLENGER  ,16,21475,1.07190686845169,23019.2,72,Used,21699,605,Tier 3,2020-03-01,43846,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10030324,19570.9,0,None,2020-03-15,72,2026-02-15,0,0,2020-01-28,0.1324,0.1324,397.53,397.53,0.0784,0.1852,CHEVROLE,EQUINOX     ,16,14483,1.35130152592695,19570.9,72,Used,55429,587,Tier 4,2020-03-15,43860,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
